,genre_list
"['Platform', 'Indie', 'Arcade']",33
"['Platform', 'Puzzle', 'Strategy']",33
"['Puzzle', 'Strategy', 'Adventure', 'Indie']",33
"['Puzzle', 'Simulator', 'Adventure', 'Indie']",32
"['Simulator', 'Adventure', 'Indie', 'Visual Novel']",31
"['Simulator', 'Arcade']",31
"['Shooter', 'Role-playing (RPG)', 'Adventure', 'Indie']",31
"['Fighting', 'Indie']",31
"['Puzzle', 'Simulator', 'Strategy', 'Indie']",30
"['Puzzle', 'Simulator', 'Indie']",30
"['Racing', 'Sport', 'Indie']",30
"['Strategy', 'Quiz/Trivia']",30
"['Shooter', ""Hack and slash/Beat 'em up""]",30
"[""Hack and slash/Beat 'em up"", 'Arcade']",30
"['Sport', 'Adventure']",30
"['Shooter', 'Simulator', 'Strategy', 'Tactical']",30
"['Strategy', 'Card & Board Game']",29
"['Role-playing (RPG)', 'Sport']",29
"['Shooter', 'Simulator', 'Sport']",28
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",28
"['Shooter', 'Puzzle', 'Adventure']",28
"['Shooter', 'Tactical', 'Adventure']",28
"['Racing', 'Sport', 'Arcade']",28
"['Shooter', 'Platform', 'Adventure', 'Indie']",27
"['Fighting', 'Platform']",27
"['Shooter', 'Simulator', 'Indie']",27
"['Shooter', 'Adventure', 'Indie', 'Arcade']",27
"['Fighting', 'Shooter']",26
"['Simulator', 'Adventure', 'Visual Novel']",26
"['Fighting', 'Role-playing (RPG)']",26
"['Strategy', 'Arcade']",26
"['Strategy', 'Turn-based strategy (TBS)', 'Card & Board Game']",26
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",26
"['Shooter', 'Racing', 'Adventure']",26
"['Platform', 'Role-playing (RPG)']",25
"['Shooter', 'Simulator', 'Arcade']",25
"['Fighting', 'Platform', ""Hack and slash/Beat 'em up""]",25
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure']",25
"['Puzzle', 'Indie', 'Arcade']",25
"['Shooter', 'Simulator', 'Strategy']",24
"['Platform', 'Puzzle', 'Adventure', 'Indie', 'Arcade']",24
"['Fighting', ""Hack and slash/Beat 'em up"", 'Arcade']",23
"['Real Time Strategy (RTS)', 'Strategy', 'Tactical']",23
"['Role-playing (RPG)', 'Tactical']",23
"['Shooter', 'Real Time Strategy (RTS)', 'Strategy']",22
"['Racing', 'Adventure', 'Indie']",22
"['Music', 'Indie']",22
"['Music', 'Arcade']",22
"['Shooter', 'Simulator', 'Adventure', 'Indie']",22
