,genre_list
"['Shooter', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']",4
"['Platform', 'Strategy', 'Arcade']",4
"['Puzzle', 'Strategy', 'Card & Board Game']",4
"['Music', 'Platform', 'Indie', 'Arcade']",4
"['Puzzle', 'Strategy', 'Adventure', 'Card & Board Game']",4
"['Fighting', 'Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)']",4
"['Fighting', 'Role-playing (RPG)', 'Indie']",4
"['Puzzle', 'Indie', 'Card & Board Game']",4
"['Simulator', 'Strategy', 'Quiz/Trivia', 'Card & Board Game']",4
"['Shooter', 'Role-playing (RPG)', 'Strategy']",4
"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Tactical']",4
"['Role-playing (RPG)', 'Sport', 'Strategy']",4
"['Racing', 'Role-playing (RPG)', 'Simulator']",4
"['Point-and-click', 'Puzzle', 'Indie']",4
"['Puzzle', 'Role-playing (RPG)', 'Turn-based strategy (TBS)']",4
"['Puzzle', 'Turn-based strategy (TBS)', 'Card & Board Game']",4
"['Fighting', 'Shooter', 'Simulator']",4
"['Shooter', 'Strategy', 'Turn-based strategy (TBS)']",4
"['Shooter', 'Racing', 'Indie', 'Arcade']",4
"['Racing', 'Sport', 'Indie', 'Arcade']",4
"['Shooter', 'Racing', 'Adventure', 'Indie', 'Arcade']",4
"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure']",4
"['Puzzle', 'Tactical']",4
"['Platform', 'Puzzle', 'Racing']",4
"['Fighting', 'Puzzle']",4
"['Music', 'Platform']",4
"['Point-and-click', 'Puzzle', 'Simulator', 'Adventure', 'Indie']",4
"['Point-and-click', 'Simulator', 'Strategy', 'Adventure', 'Indie']",4
"['Simulator', 'Strategy', 'Quiz/Trivia']",4
"['Point-and-click', 'Puzzle', 'Adventure', 'Visual Novel']",4
"['Fighting', 'Shooter', 'Platform']",4
"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']",4
"['Shooter', 'Racing', 'Indie']",4
"['Music', 'Platform', 'Indie']",4
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",4
"['Shooter', 'Role-playing (RPG)', 'Sport']",4
"['Fighting', 'Shooter', 'Strategy']",4
"['Racing', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",4
"['Role-playing (RPG)', 'Tactical', 'Adventure', 'Indie']",4
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",4
"['Puzzle', 'Simulator', 'Strategy', 'Indie', 'Arcade']",4
"['Shooter', 'Strategy', 'Adventure', 'Arcade']",4
"['Fighting', 'Shooter', 'Adventure']",4
"['Music', 'Puzzle', 'Strategy']",4
"['Platform', 'Simulator', 'Strategy']",4
"['Point-and-click', 'Shooter', 'Adventure']",4
"['Music', 'Adventure', 'Indie', 'Arcade']",4
"['Shooter', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up""]",4
"['Sport', 'Strategy', 'Quiz/Trivia']",4
"['Puzzle', 'Role-playing (RPG)', 'Strategy']",4
"['Music', 'Role-playing (RPG)', 'Indie']",4
"['Strategy', 'Indie', 'Card & Board Game']",4
"['Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure']",4
"['Puzzle', 'Simulator', 'Sport']",4
"['Simulator', 'Turn-based strategy (TBS)', 'Indie']",3
"['Fighting', 'Shooter', ""Hack and slash/Beat 'em up"", 'Indie']",3
"['Role-playing (RPG)', 'Sport', 'Adventure', 'Indie']",3
"['Shooter', 'Platform', 'Strategy', 'Indie']",3
"['Fighting', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",3
"['Music', 'Visual Novel']",3
"['Platform', 'Racing', 'Sport', 'Indie', 'Arcade']",3
"['Turn-based strategy (TBS)', 'Tactical']",3
"['Puzzle', 'Racing', 'Sport']",3
"['Role-playing (RPG)', 'Sport', 'Strategy', 'Indie']",3
"['Simulator', 'Adventure', 'Indie', 'Arcade']",3
"['Racing', 'Simulator', 'Indie', 'Arcade']",3
"['Fighting', 'Platform', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",3
"['Racing', 'Strategy']",3
"['Fighting', 'Strategy', 'Adventure']",3
"['Fighting', 'Simulator', 'Strategy', 'Indie']",3
"['Simulator', 'Sport', 'Indie', 'Arcade']",3
"['Shooter', ""Hack and slash/Beat 'em up"", 'Indie']",3
"['Simulator', 'Sport', 'Turn-based strategy (TBS)']",3
"['Platform', 'Role-playing (RPG)', 'Adventure', 'Arcade']",3
"['Sport', 'Strategy', 'Adventure', 'Indie']",3
"['Sport', 'Strategy', 'Turn-based strategy (TBS)']",3
"['Puzzle', 'Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Indie']",3
"['Role-playing (RPG)', 'Pinball']",3
"['Simulator', 'Sport', 'Strategy', 'Adventure', 'Indie']",3
"['Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Indie']",3
"['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Indie']",3
"['Fighting', 'Simulator', 'Adventure']",3
"['Platform', 'Sport', 'Indie']",3
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie', 'Visual Novel']",3
"['Role-playing (RPG)', 'Strategy', 'Tactical', 'Adventure', 'Indie']",3
"['Platform', 'Strategy', 'Indie', 'Arcade']",3
"['Role-playing (RPG)', 'Simulator', 'Indie', 'Visual Novel']",3
"['Simulator', 'Adventure', 'Arcade']",3
"['Puzzle', 'Sport', 'Adventure']",3
"['Adventure', 'Card & Board Game']",3
"['Role-playing (RPG)', 'Simulator', ""Hack and slash/Beat 'em up"", 'Adventure']",3
"['Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",3
"['Fighting', 'Sport', 'Indie']",3
"['Fighting', 'Shooter', ""Hack and slash/Beat 'em up"", 'Adventure']",3
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Indie']",3
"['Shooter', 'Platform', 'Strategy']",3
"['Music', 'Simulator', 'Indie']",3
"['Role-playing (RPG)', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",3
"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Indie']",3
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Tactical', 'Adventure', 'Indie']",3
"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)']",3
"['Shooter', 'Turn-based strategy (TBS)']",3
"['Point-and-click', 'Role-playing (RPG)']",3
"['Point-and-click', 'Puzzle', 'Strategy', 'Adventure']",3
"['Tactical', 'Indie']",3
"['Music', 'Puzzle', 'Simulator']",3
"['Fighting', 'Platform', 'Arcade']",3
"['Platform', 'Puzzle', 'Role-playing (RPG)']",3
"['Strategy', ""Hack and slash/Beat 'em up"", 'Indie']",3
"['Puzzle', 'Quiz/Trivia', 'Card & Board Game']",3
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie', 'Arcade']",3
"['Puzzle', 'Strategy', 'Pinball']",3
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Tactical', 'Adventure', 'Visual Novel']",3
"['Puzzle', 'Strategy', 'Turn-based strategy (TBS)', 'Indie']",3
"['Shooter', 'Racing', ""Hack and slash/Beat 'em up"", 'Adventure']",3
"['Puzzle', 'Sport', 'Arcade']",3
"['Platform', 'Pinball', 'Adventure']",3
"['Pinball', 'Adventure', 'Arcade']",3
"['Shooter', 'Strategy', 'Adventure', 'Indie', 'Arcade']",3
"['Role-playing (RPG)', 'Simulator', 'Adventure', 'Visual Novel']",3
"['Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie', 'Arcade']",3
"['Point-and-click', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",3
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Tactical', 'Indie']",3
"['Music', 'Simulator', 'Sport']",3
"['Shooter', 'Puzzle', 'Adventure', 'Indie', 'Arcade']",3
"['Point-and-click', 'Adventure', 'Indie', 'Visual Novel']",3
"['Platform', 'Racing', 'Adventure', 'Indie', 'Arcade']",3
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Tactical']",3
"['Platform', 'Strategy', 'Adventure', 'Indie', 'Arcade']",3
"['Fighting', 'Shooter', 'Indie', 'Arcade']",3
"['Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Visual Novel']",3
"['Role-playing (RPG)', 'Sport', 'Strategy', 'Adventure', 'Indie']",3
"['Fighting', 'Racing', 'Sport']",3
"['Racing', 'Role-playing (RPG)', 'Simulator', 'Sport', 'Indie']",3
"['Shooter', 'Puzzle', 'Adventure', 'Arcade']",3
"['Sport', ""Hack and slash/Beat 'em up"", 'Adventure']",3
"['Music', 'Sport', 'Indie']",3
"['Shooter', 'Music', 'Puzzle', 'Indie', 'Arcade']",3
"['Puzzle', 'Simulator', 'Sport', 'Strategy', 'Indie']",3
"['Point-and-click', 'Platform', 'Adventure']",3
"['Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Card & Board Game']",3
"['Shooter', 'Simulator', 'Strategy', 'Adventure']",3
"['Fighting', 'Shooter', 'Sport']",3
"['Fighting', 'Simulator', 'Strategy']",3
"['Platform', 'Sport', 'Adventure', 'Indie']",3
"['Shooter', 'Simulator', 'Sport', 'Indie']",3
"['Fighting', 'Platform', ""Hack and slash/Beat 'em up"", 'Arcade']",3
"['Platform', 'Puzzle', ""Hack and slash/Beat 'em up""]",3
"['Simulator', 'Pinball', 'Indie', 'Arcade']",3
"['Racing', 'Simulator', 'Strategy', 'Indie']",3
"['Puzzle', 'Strategy', 'Adventure', 'Arcade']",3
"['Fighting', 'Sport', 'Adventure']",3
"['Point-and-click', 'Strategy']",3
"['Shooter', 'Platform', 'Role-playing (RPG)', 'Adventure', 'Indie']",3
"['Music', 'Platform', 'Adventure', 'Indie', 'Arcade']",3
"['Shooter', 'Platform', 'Puzzle', 'Strategy']",3
"['Music', 'Strategy']",3
"['Fighting', 'Platform', 'Adventure', 'Arcade']",3
"['Puzzle', 'Racing', 'Simulator', 'Sport']",3
"['Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie', 'Visual Novel']",3
"['Pinball', 'Adventure', 'Indie']",3
"['Racing', 'Adventure', 'Arcade']",3
"['Role-playing (RPG)', 'Indie', 'Visual Novel']",3
"['Racing', 'Pinball']",3
"['Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Card & Board Game']",3
"['Simulator', 'Tactical']",3
"['Platform', 'Strategy', 'Adventure', 'Arcade']",3
"['Simulator', 'Strategy', 'Indie', 'Arcade']",3
"['Puzzle', 'Strategy', 'Arcade', 'Card & Board Game']",3
"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",2
"['Shooter', 'Simulator', 'Sport', 'Strategy', 'Adventure']",2
"['Role-playing (RPG)', 'Simulator', 'Visual Novel']",2
"['Shooter', 'Racing', 'Simulator', 'Sport']",2
"['Shooter', 'Music', 'Simulator', 'Indie']",2
"['Point-and-click', 'Shooter', 'Racing', 'Adventure', 'Arcade']",2
"['Fighting', 'Role-playing (RPG)', 'Strategy']",2
"['Fighting', 'Sport', 'Strategy']",2
"['Shooter', 'Platform', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure']",2
"['Music', 'Racing', 'Indie', 'Arcade']",2
"['Platform', 'Puzzle', 'Simulator', 'Adventure', 'Indie', 'Arcade']",2
"['Shooter', 'Platform', 'Puzzle', 'Racing']",2
"['Music', 'Simulator', 'Sport', 'Indie']",2
"['Platform', 'Role-playing (RPG)', 'Indie', 'Arcade']",2
"['Racing', 'Sport', 'Strategy', 'Indie']",2
"['Fighting', 'Platform', 'Racing']",2
"['Point-and-click', 'Music', 'Puzzle', 'Adventure', 'Indie']",2
"['Strategy', 'Adventure', 'Visual Novel']",2
"['Shooter', 'Platform', 'Real Time Strategy (RTS)', 'Strategy']",2
"['Racing', 'Simulator', 'Strategy', 'Adventure', 'Indie']",2
"['Racing', 'Role-playing (RPG)', 'Strategy', 'Indie']",2
"['Puzzle', 'Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)']",2
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",2
"['Platform', 'Racing', 'Simulator', 'Sport', 'Indie']",2
"['Racing', 'Role-playing (RPG)', 'Simulator', 'Sport', 'Strategy', 'Adventure', 'Indie']",2
"['Simulator', 'Quiz/Trivia', 'Adventure']",2
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Visual Novel']",2
"['Puzzle', 'Sport', 'Indie', 'Arcade']",2
"['Shooter', 'Platform', 'Racing', 'Arcade']",2
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Indie', 'Visual Novel']",2
"['Platform', 'Racing', 'Strategy', 'Indie']",2
"['Real Time Strategy (RTS)', 'Adventure']",2
"['Role-playing (RPG)', 'Simulator', 'Sport', 'Adventure', 'Indie']",2
"['Racing', 'Role-playing (RPG)', 'Indie']",2
"['Music', 'Puzzle', 'Indie', 'Arcade']",2
"['Music', 'Puzzle', 'Simulator', 'Indie']",2
"['Puzzle', 'Arcade', 'Card & Board Game']",2
"['Puzzle', 'Racing', 'Simulator', 'Adventure']",2
"['Shooter', 'Sport', 'Adventure', 'Indie']",2
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Arcade']",2
"['Shooter', 'Simulator', 'Strategy', 'Tactical', 'Indie', 'Arcade']",2
"['Music', 'Real Time Strategy (RTS)', 'Strategy', 'Indie']",2
"['Puzzle', 'Racing', 'Arcade']",2
"['Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure', 'Indie', 'Visual Novel']",2
"['Role-playing (RPG)', 'Strategy', 'Tactical', 'Adventure', 'Indie', 'Card & Board Game']",2
"['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Tactical', 'Adventure', 'Indie']",2
"['Fighting', 'Role-playing (RPG)', 'Arcade']",2
"['Strategy', 'Turn-based strategy (TBS)', 'Quiz/Trivia']",2
"['Role-playing (RPG)', 'Indie', 'Arcade']",2
"['Puzzle', 'Strategy', 'Tactical', 'Adventure']",2
"['Shooter', 'Sport', 'Arcade']",2
"['Shooter', 'Simulator', 'Strategy', 'Indie', 'Arcade']",2
"['Shooter', 'Tactical', 'Indie', 'Arcade']",2
"['Puzzle', 'Strategy', 'Tactical', 'Arcade']",2
"['Shooter', 'Sport', 'Pinball', 'Arcade']",2
"['Fighting', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie', 'Arcade']",2
"['Platform', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie', 'Arcade']",2
"['Simulator', 'Strategy', 'Quiz/Trivia', 'Indie']",2
"['Strategy', 'Quiz/Trivia', 'Adventure', 'Indie']",2
"['Shooter', 'Music', 'Platform', 'Adventure']",2
"['Role-playing (RPG)', 'Tactical', 'Indie']",2
"['Puzzle', 'Simulator', 'Strategy', 'Adventure']",2
"['Role-playing (RPG)', 'Sport', 'Indie']",2
"['Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Indie', 'Card & Board Game']",2
"['Racing', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",2
"['Platform', 'Sport', 'Arcade']",2
"['Shooter', 'Simulator', 'Pinball']",2
"['Sport', 'Adventure', 'Indie', 'Arcade']",2
"['Shooter', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",2
"['Fighting', 'Puzzle', 'Adventure', 'Indie']",2
"['Music', 'Simulator', 'Arcade']",2
"['Shooter', 'Real Time Strategy (RTS)', 'Strategy', 'Indie', 'Arcade']",2
"['Shooter', 'Pinball', 'Adventure', 'Arcade']",2
"['Shooter', 'Platform', 'Simulator', 'Strategy']",2
"['Racing', 'Strategy', 'Adventure', 'Indie']",2
"['Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Indie']",2
"['Puzzle', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Indie']",2
"['Puzzle', 'Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure', 'Indie', 'Visual Novel']",2
"['Music', 'Platform', 'Puzzle', 'Adventure', 'Indie', 'Arcade']",2
"['Role-playing (RPG)', 'Simulator', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",2
"['Puzzle', 'Sport', 'Indie']",2
"['Puzzle', 'Simulator', 'Sport', 'Indie', 'Arcade']",2
"['Puzzle', 'Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Indie']",2
"['Shooter', 'Music', 'Arcade']",2
"['Racing', 'Role-playing (RPG)', 'Simulator', 'Indie']",2
"['Shooter', 'Strategy', 'Pinball']",2
"['Shooter', 'Racing', 'Role-playing (RPG)', 'Adventure']",2
"['Music', 'Puzzle', 'Adventure']",2
"['Fighting', 'Shooter', 'Platform', 'Indie']",2
"['Shooter', 'Role-playing (RPG)', 'Arcade']",2
"['Racing', 'Simulator', 'Adventure', 'Indie', 'Arcade']",2
"['Fighting', 'Shooter', 'Role-playing (RPG)', 'Strategy', 'Adventure']",2
"['Puzzle', 'Sport', 'Strategy', 'Quiz/Trivia']",2
"['Puzzle', 'Racing', 'Indie']",2
"['Point-and-click', 'Simulator', 'Indie']",2
"['Role-playing (RPG)', 'Simulator', 'Sport', 'Adventure']",2
"['Shooter', 'Sport', 'Indie', 'Arcade']",2
"['Strategy', 'Adventure', 'Indie', 'Visual Novel']",2
"['Fighting', 'Role-playing (RPG)', 'Simulator', 'Sport', 'Strategy', 'Indie']",2
"['Shooter', 'Puzzle', 'Racing']",2
"['Point-and-click', 'Quiz/Trivia']",2
"['Puzzle', 'Role-playing (RPG)', 'Simulator']",2
"['Platform', 'Racing', 'Simulator', 'Indie']",2
"['Racing', 'Sport', 'Adventure', 'Indie']",2
"['Shooter', 'Quiz/Trivia']",2
"['Quiz/Trivia', 'Adventure', 'Card & Board Game']",2
"['Fighting', 'Platform', 'Puzzle', 'Adventure', 'Indie']",2
"['Fighting', 'Puzzle', 'Simulator', 'Strategy', 'Indie', 'Arcade']",2
"['Shooter', 'Platform', ""Hack and slash/Beat 'em up"", 'Indie']",2
"['Real Time Strategy (RTS)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Indie']",2
"['Tactical', ""Hack and slash/Beat 'em up""]",2
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Indie']",2
"['Puzzle', 'Real Time Strategy (RTS)', 'Strategy', 'Arcade']",2
"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Tactical', 'Adventure', 'Indie']",2
"['Fighting', 'Racing', ""Hack and slash/Beat 'em up""]",2
"['Racing', 'Simulator', 'Sport', 'Strategy', 'Indie']",2
"['Shooter', 'Platform', 'Racing', 'Indie', 'Arcade']",2
"['Fighting', 'Puzzle', 'Strategy']",2
"['Puzzle', 'Simulator', 'Sport', 'Strategy']",2
"['Fighting', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",2
"['Fighting', 'Shooter', 'Sport', 'Indie', 'Arcade']",2
"['Fighting', 'Platform', 'Adventure', 'Indie', 'Arcade']",2
"['Real Time Strategy (RTS)', 'Strategy', 'Arcade']",2
"['Racing', 'Adventure', 'Indie', 'Arcade']",2
"['Shooter', 'Role-playing (RPG)', 'Adventure', 'Arcade']",2
"['Puzzle', 'Tactical', 'Arcade']",2
"['Real Time Strategy (RTS)', 'Strategy', 'Tactical', 'Adventure']",2
"['Shooter', 'Role-playing (RPG)', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",2
"['Shooter', 'Racing', 'Simulator', 'Adventure']",2
"['Point-and-click', 'Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie']",2
"['Fighting', 'Role-playing (RPG)', 'Sport', ""Hack and slash/Beat 'em up""]",2
"['Shooter', 'Racing', 'Adventure', 'Arcade']",2
"['Puzzle', 'Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy']",2
"['Shooter', 'Real Time Strategy (RTS)', 'Strategy', 'Arcade']",2
"['Fighting', 'Racing', 'Simulator', 'Sport']",2
"['Shooter', 'Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', ""Hack and slash/Beat 'em up""]",2
"['Shooter', 'Real Time Strategy (RTS)', 'Simulator', 'Tactical']",2
"['Simulator', 'Strategy', 'Arcade', 'Card & Board Game']",2
"['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Card & Board Game']",2
"['Fighting', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Arcade']",2
"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Arcade']",2
"['Shooter', 'Tactical', 'Adventure', 'Indie', 'Arcade']",2
"['Music', 'Real Time Strategy (RTS)', 'Strategy']",2
"['Point-and-click', 'Role-playing (RPG)', 'Strategy', 'Adventure']",2
"['Fighting', 'Platform', ""Hack and slash/Beat 'em up"", 'Adventure', 'Arcade']",2
"['Music', 'Role-playing (RPG)', 'Adventure', 'Indie']",2
"['Fighting', 'Simulator', 'Arcade']",2
"['Platform', 'Simulator', 'Sport']",2
"['Strategy', 'MOBA']",2
"['Music', 'Platform', 'Racing', 'Sport']",2
"['Puzzle', 'Real Time Strategy (RTS)', 'Strategy', 'Adventure']",2
"['Fighting', 'Sport', 'Turn-based strategy (TBS)']",2
"['Shooter', 'Role-playing (RPG)', 'Tactical', 'Adventure']",2
"['Point-and-click', 'Puzzle', 'Simulator', 'Strategy', 'Adventure']",2
"['Fighting', 'Puzzle', 'Role-playing (RPG)', 'Strategy', 'Tactical', 'Adventure']",2
"['Shooter', 'Adventure', 'Visual Novel']",2
"['Platform', 'Racing', ""Hack and slash/Beat 'em up"", 'Adventure']",2
"['Shooter', 'Platform', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",2
"['Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy', ""Hack and slash/Beat 'em up""]",2
"['Sport', 'Tactical']",2
"['Role-playing (RPG)', 'Tactical', 'Adventure', 'Arcade']",2
"['Role-playing (RPG)', 'Simulator', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure']",2
"['Real Time Strategy (RTS)', 'Strategy', ""Hack and slash/Beat 'em up""]",2
"['Role-playing (RPG)', 'Simulator', 'Quiz/Trivia']",2
"['Fighting', 'Simulator', 'Indie']",2
"['Racing', 'Strategy', 'Arcade']",2
"['Fighting', 'Platform', 'Role-playing (RPG)', 'Adventure']",2
"['Puzzle', 'Real Time Strategy (RTS)', 'Strategy', 'Indie']",2
"['Platform', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up""]",2
"['Shooter', 'Simulator', 'Adventure', 'Arcade']",2
"['Fighting', 'Quiz/Trivia']",2
"['Racing', 'Sport', ""Hack and slash/Beat 'em up""]",2
"['Point-and-click', 'Platform', 'Puzzle', 'Adventure']",2
"['Platform', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Indie']",2
"['Shooter', 'Platform', 'Pinball']",2
"['Fighting', 'Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Arcade']",2
"['Racing', 'Simulator', 'Strategy', 'Adventure']",2
"['Shooter', 'Platform', 'Role-playing (RPG)', 'Adventure']",2
"['Quiz/Trivia', 'Adventure', 'Indie']",2
"['Shooter', 'Real Time Strategy (RTS)', 'Role-playing (RPG)', 'Strategy']",2
"['Platform', 'Puzzle', 'Simulator', 'Indie']",2
"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Card & Board Game']",2
"['Shooter', 'Real Time Strategy (RTS)', 'Strategy', 'Turn-based strategy (TBS)']",2
"['Platform', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']",2
"['Fighting', 'Strategy', ""Hack and slash/Beat 'em up"", 'Adventure']",2
"['Puzzle', 'Simulator', 'Sport', 'Quiz/Trivia']",2
"['Fighting', 'Shooter', 'Role-playing (RPG)', 'Adventure']",2
"['Shooter', 'Racing', 'Role-playing (RPG)']",2
"['Racing', 'Role-playing (RPG)', 'Adventure']",2
"['Fighting', 'Shooter', 'Platform', 'Adventure']",2
"['Puzzle', 'Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical']",2
"['Racing', 'Role-playing (RPG)', 'Sport', 'Adventure']",2
"['Shooter', 'Music', 'Platform', 'Adventure', 'Indie']",2
"['Music', 'Platform', 'Puzzle']",2
"['Role-playing (RPG)', 'Simulator', 'Sport', 'Strategy', 'Adventure']",2
"['Role-playing (RPG)', 'Strategy', 'Quiz/Trivia']",2
"['Puzzle', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)']",2
"['Platform', 'Quiz/Trivia']",2
"['Shooter', 'Role-playing (RPG)', 'Strategy', 'Indie']",2
"['Point-and-click', 'Simulator', 'Adventure']",2
"['Shooter', 'Platform', ""Hack and slash/Beat 'em up"", 'Adventure']",2
"['Point-and-click', 'Racing', 'Adventure']",2
"['Role-playing (RPG)', 'Simulator', 'Sport', ""Hack and slash/Beat 'em up"", 'Adventure']",2
"['Music', 'Puzzle', 'Real Time Strategy (RTS)', 'Strategy']",2
"['Racing', 'Role-playing (RPG)', 'Sport', 'Adventure', 'Indie']",2
"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Indie']",2
"['Platform', 'Simulator', 'Strategy', 'Adventure', 'Indie']",2
"['Puzzle', 'Adventure', 'Card & Board Game']",2
"['Fighting', 'Platform', 'Sport', ""Hack and slash/Beat 'em up""]",2
"['Shooter', 'Puzzle', 'Simulator', 'Strategy']",2
"['Platform', 'Strategy', ""Hack and slash/Beat 'em up"", 'Indie']",2
"['Music', 'Puzzle', 'Simulator', 'Arcade']",2
"['Racing', 'Sport', 'Adventure', 'Arcade']",2
"['Platform', 'Racing', 'Role-playing (RPG)', 'Adventure']",2
"['Shooter', 'Simulator', 'Tactical', 'Adventure']",2
"['Shooter', 'Platform', 'Strategy', 'Adventure', 'Indie']",2
"['Platform', 'Puzzle', 'Sport', 'Adventure', 'Indie', 'Arcade']",2
"['Puzzle', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",2
"['Shooter', 'Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Adventure']",2
"['Sport', 'Strategy', 'Arcade']",2
"['Puzzle', 'Pinball', 'Indie', 'Arcade']",1
"['Strategy', 'Pinball', 'Adventure']",1
"['Shooter', 'Simulator', 'Sport', 'Arcade']",1
"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)']",1
"['Simulator', 'Strategy', 'Adventure', 'Indie', 'Card & Board Game']",1
"['Music', 'Platform', 'Adventure']",1
"['Shooter', 'Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical', 'Indie']",1
"['Fighting', 'Shooter', 'Simulator', 'Tactical']",1
"['Puzzle', 'Role-playing (RPG)', 'Arcade']",1
"['Simulator', 'Tactical', 'Arcade']",1
"['Turn-based strategy (TBS)', 'Adventure', 'Card & Board Game']",1
"['Music', 'Puzzle', 'Strategy', 'Arcade']",1
"['Platform', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Visual Novel']",1
"['Fighting', 'Role-playing (RPG)', 'Adventure', 'Arcade']",1
